,id,city,latitude,longitude,temperature,day,day_temperature,humidity
0,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 1,13.29,69
1,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 2,15.14,73
2,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 3,15.4,75
3,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 4,16.87,64
4,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 5,17.4,59
5,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 6,15.39,76
6,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 7,16.54,95
7,1,Mont Saint Michel,48.6359541,-1.511459954959514,14.4,day 8,12.16,94
8,2,St Malo,48.649518,-2.0260409,14.28,day 1,13.29,69
9,2,St Malo,48.649518,-2.0260409,14.28,day 2,15.24,70
10,2,St Malo,48.649518,-2.0260409,14.28,day 3,15.53,78
11,2,St Malo,48.649518,-2.0260409,14.28,day 4,16.16,71
12,2,St Malo,48.649518,-2.0260409,14.28,day 5,17.97,63
13,2,St Malo,48.649518,-2.0260409,14.28,day 6,15.2,62
14,2,St Malo,48.649518,-2.0260409,14.28,day 7,16.18,94
15,2,St Malo,48.649518,-2.0260409,14.28,day 8,17.87,94
16,3,Bayeux,49.2764624,-0.7024738,14.13,day 1,13.29,69
17,3,Bayeux,49.2764624,-0.7024738,14.13,day 2,15.14,73
18,3,Bayeux,49.2764624,-0.7024738,14.13,day 3,15.4,75
19,3,Bayeux,49.2764624,-0.7024738,14.13,day 4,16.87,64
20,3,Bayeux,49.2764624,-0.7024738,14.13,day 5,17.4,59
21,3,Bayeux,49.2764624,-0.7024738,14.13,day 6,15.39,76
22,3,Bayeux,49.2764624,-0.7024738,14.13,day 7,16.54,95
23,3,Bayeux,49.2764624,-0.7024738,14.13,day 8,12.16,94
24,4,Le Havre,49.4938975,0.1079732,14.19,day 1,13.29,69
25,4,Le Havre,49.4938975,0.1079732,14.19,day 2,15.14,73
26,4,Le Havre,49.4938975,0.1079732,14.19,day 3,15.4,75
27,4,Le Havre,49.4938975,0.1079732,14.19,day 4,16.87,64
28,4,Le Havre,49.4938975,0.1079732,14.19,day 5,17.4,59
29,4,Le Havre,49.4938975,0.1079732,14.19,day 6,15.39,76
30,4,Le Havre,49.4938975,0.1079732,14.19,day 7,16.54,95
31,4,Le Havre,49.4938975,0.1079732,14.19,day 8,12.16,94
32,5,Rouen,49.4404591,1.0939658,11.51,day 1,13.29,69
33,5,Rouen,49.4404591,1.0939658,11.51,day 2,15.14,73
34,5,Rouen,49.4404591,1.0939658,11.51,day 3,15.4,75
35,5,Rouen,49.4404591,1.0939658,11.51,day 4,16.87,64
36,5,Rouen,49.4404591,1.0939658,11.51,day 5,17.4,59
37,5,Rouen,49.4404591,1.0939658,11.51,day 6,15.39,76
38,5,Rouen,49.4404591,1.0939658,11.51,day 7,16.54,95
39,5,Rouen,49.4404591,1.0939658,11.51,day 8,12.16,94
40,6,Paris,48.8588897,2.3200410217200766,10.7,day 1,13.29,69
41,6,Paris,48.8588897,2.3200410217200766,10.7,day 2,15.14,73
42,6,Paris,48.8588897,2.3200410217200766,10.7,day 3,15.4,75
43,6,Paris,48.8588897,2.3200410217200766,10.7,day 4,16.87,64
44,6,Paris,48.8588897,2.3200410217200766,10.7,day 5,17.4,59
45,6,Paris,48.8588897,2.3200410217200766,10.7,day 6,15.39,76
46,6,Paris,48.8588897,2.3200410217200766,10.7,day 7,16.54,95
47,6,Paris,48.8588897,2.3200410217200766,10.7,day 8,12.16,94
48,7,Amiens,49.8941708,2.2956951,9.54,day 1,13.29,69
49,7,Amiens,49.8941708,2.2956951,9.54,day 2,15.14,73
50,7,Amiens,49.8941708,2.2956951,9.54,day 3,15.4,75
51,7,Amiens,49.8941708,2.2956951,9.54,day 4,16.87,64
52,7,Amiens,49.8941708,2.2956951,9.54,day 5,17.4,59
53,7,Amiens,49.8941708,2.2956951,9.54,day 6,15.39,76
54,7,Amiens,49.8941708,2.2956951,9.54,day 7,16.54,95
55,7,Amiens,49.8941708,2.2956951,9.54,day 8,12.16,94
56,8,Lille,50.6365654,3.0635282,8.97,day 1,13.29,69
57,8,Lille,50.6365654,3.0635282,8.97,day 2,15.24,70
58,8,Lille,50.6365654,3.0635282,8.97,day 3,15.53,78
59,8,Lille,50.6365654,3.0635282,8.97,day 4,16.16,71
60,8,Lille,50.6365654,3.0635282,8.97,day 5,17.97,63
61,8,Lille,50.6365654,3.0635282,8.97,day 6,15.2,62
62,8,Lille,50.6365654,3.0635282,8.97,day 7,16.18,94
63,8,Lille,50.6365654,3.0635282,8.97,day 8,17.87,94
64,9,Strasbourg,48.584614,7.7507127,7.46,day 1,13.11,74
65,9,Strasbourg,48.584614,7.7507127,7.46,day 2,14.97,73
66,9,Strasbourg,48.584614,7.7507127,7.46,day 3,15.63,74
67,9,Strasbourg,48.584614,7.7507127,7.46,day 4,16.85,66
68,9,Strasbourg,48.584614,7.7507127,7.46,day 5,17.69,60
